id;imie;nazwisko;nazwa_firmy;email;telefon;miasto;wiek
f85ac25c-58f8-4bac-847f-c4c0c9c5ea6c;Roksana;Miszkiewicz;Gabinety Balawender-Dułak s.c.;pciecko@example.org;+48 734 087 250;Łowicz;41
3db75da4-910e-4008-804f-a2b0639482f4;Maks;Schubert;Olbrych-Czapiga S.A.;nela27@example.org;32 003 09 87;Brodnica;47
c1224c8c-a8ec-411e-9835-360695343322;Julian;Perlik;FPUH Palonek;olgierd57@example.com;732 740 645;Pruszków;34
a69ca786-317c-4dab-b476-e41a157d4125;Tymon;Chalimoniuk;Maculewicz i syn s.c.;smeteknataniel@example.org;+48 516 130 869;Tomaszów Mazowiecki;29
f5bf5553-5b56-4599-80c0-6927446563b0;Urszula;Tatarczuk;Grupa Wojcik;xbyzdra@example.com;+48 605 623 728;Częstochowa;68
42d25412-cd6e-4ba6-9f1e-829a489ada78;Marek;Czubaszek;Pabisiak Sp. z o.o. Sp.k.;kaja57@example.com;782 645 307;Racibórz;19
609188ef-af46-44a1-a00c-5fd1823d7a27;Emil;Zieja;Wypchło Sp.k.;tobiasz15@example.com;884 076 522;Czerwionka-Leszczyny;60
bdc7f706-6696-465f-b9a5-cf4db365805a;Piotr;Dziduch;Grupa Hojda-Guściora i syn s.c.;bfurmankiewicz@example.net;579 474 559;Piaseczno;54
32d1b29c-0385-4cf5-8c9c-49fdb0bdac42;Juliusz;Kozdrój;Grupa Huczek S.A.;julitabasaj@example.com;+48 784 656 620;Świecie;36
39e50ba4-b8c8-4cad-8e47-e0d4b8d1408c;Jerzy;Niksa;Siwa-Czuj i syn s.c.;godrzywolek@example.net;+48 699 483 631;Leszno;46
b7b1e911-7761-4111-b2c4-6b4aeef42185;Dagmara;Juśkiewicz;Drewicz-Materka Sp. z o.o. Sp.k.;rozalia51@example.com;573 486 144;Tomaszów Mazowiecki;48
33455301-0167-47d6-9612-a3e5e8ebf4bc;Dawid;Barteczko;Kopytko Sp. z o.o.;anastazja40@example.com;784 977 756;Sandomierz;60
1ec87249-447e-48f9-842f-4f65b23d4df3;Emil;Ludwisiak;Spółdzielnia Dzidek;pstarzak@example.org;+48 22 653 94 27;Lubartów;65
